trend,ntweets,nretweets,nmentions,k,L,clustering,betweenness,entropy,diam_rt,v_rt,diam_ment,v_ment,r,burst
thestruggle,6.609068627450981,1.133578431372549,1.329656862745098,2.350597609561753,6.593208331365418,0.002041483724727697,0.005326190672581879,0.2435327555096318,3,7,3,4,-0.1909869038178976,0
iwanttopunchpeoplewho,12.31060606060606,2.649621212121212,0.3181818181818182,2.2857142857142856,8.295979972596054,0.0009272536628873579,0.007093870184725825,0.09312117108010601,2,29,2,4,-0.22414342671928134,1
sometimesijustwant,42.30833333333333,8.283333333333333,0.8833333333333333,2.147766323024055,7.282532353081285,0.0017420825989527167,0.005289273839894554,0.23016287074791852,4,32,2,3,-0.19317951563069086,1
itscutewhen,17.114583333333332,4.0,0.46041666666666664,2.4201680672268906,7.877147258069461,0.0010461990403577584,0.007764410337789851,0.1101257376450477,8,46,2,4,-0.1578186169616758,1
twothingsthatdontmix,12.077380952380953,2.4265873015873014,0.3630952380952381,2.135291206071605,8.041456431395991,0.0002666254325903955,0.0055947065163505175,0.07588387618574421,4,20,2,7,-0.21007762834132276,1
thingsthatfrustrateme,13.948529411764707,1.963235294117647,0.28431372549019607,2.2471447679802448,12.61636349809723,0.00045630202071521986,0.010631803723179475,0.11791816670630054,4,8,2,2,-0.18558529281390082,1
justsayin,8.841911764705882,0.9889705882352942,0.9620098039215687,2.151371807000946,3.854012521343199,0.0012186091728115266,0.006286255326312226,0.34573732802692264,2,9,2,5,-0.24725110741198408,0
immadbecause,35.325,6.291666666666667,0.85,2.0245538251676707,8.063524482420904,0.0005536542703284774,0.006422518500462168,0.13000067374036448,6,16,2,4,-0.24663633786825684,1
imsickof,17.166666666666668,3.1921296296296298,0.4861111111111111,2.631578947368421,7.674998967206749,0.0014408866630001658,0.009973536627427589,0.09976204232566269,4,14,3,5,-0.16898613914673122,1
uk,5.052696078431373,1.0147058823529411,0.3014705882352941,2.71875,6.024385066223638,0.010277105913470266,0.017250661467783864,0.4346530668500632,4,5,2,4,-0.28279742346269826,1
life,5.784313725490196,0.8676470588235294,0.34191176470588236,2.152173913043478,4.690915369341888,0.000926751570270781,0.00828295518910508,0.2914700370120324,2,12,2,4,-0.24622793707626883,0
kuwait,6.574754901960785,0.6605392156862745,0.23039215686274508,2.588235294117647,6.5580679895400715,0.007536904522251557,0.015474735369669793,0.5907512548549009,3,3,2,3,-0.09202400554808865,0
icantlivewithout,7.9875,1.5583333333333333,0.5347222222222222,2.2,7.800524134903817,0.0005923158852961716,0.01056938425064453,0.08220486296485843,6,36,7,13,-0.23764216480080022,1
thatdepressingmoment,13.594298245614034,3.3333333333333335,0.36622807017543857,2.2038924930491195,10.862302385607288,0.00044177564111326273,0.010642636078496442,0.10263475628035582,5,114,3,5,-0.21998823813659996,1
ows,6.889705882352941,0.7745098039215687,0.4338235294117647,2.977072310405644,5.193376623376623,0.023293676879556177,0.012207376960866328,0.6039558083346519,3,4,2,5,-0.17916908912940335,0
hardestthingsinlife,10.939814814814815,2.6921296296296298,0.2824074074074074,2.074534161490684,9.188202438044856,0.0005086051608127686,0.010122708031567748,0.11224573458582679,2,38,2,3,-0.15982829989377118,1
hotpeopleifollow,15.786111111111111,3.0277777777777777,4.686111111111111,2.25,7.303901814615546,0.0011710000226028243,0.008889053610291077,0.1027986711332892,3,10,9,35,-0.24846741169170045,1
support,5.193627450980392,0.9325980392156863,2.213235294117647,2.3376623376623376,4.8606387648939595,0.004898142899535572,0.007901073475490086,0.22456136259055653,3,10,4,8,-0.2931965270097637,0
